name,surname,email,pnr,mkt_permission
NOMBRE0,APELLIDO0,NOMBRE0APELLIDO0@gmail.com,LJGET,0
NOMBRE1,APELLIDO1,NOMBRE1APELLIDO1@gmail.com,HPQTU,1
NOMBRE2,APELLIDO2,NOMBRE2APELLIDO2@gmail.com,SNLML,0
NOMBRE3,APELLIDO3,NOMBRE3APELLIDO3@gmail.com,EWCSC,1
NOMBRE4,APELLIDO4,NOMBRE4APELLIDO4@gmail.com,AFNCU,0
NOMBRE5,APELLIDO5,NOMBRE5APELLIDO5@gmail.com,QADYH,1
NOMBRE6,APELLIDO6,NOMBRE6APELLIDO6@gmail.com,EBXTF,1
NOMBRE7,APELLIDO7,NOMBRE7APELLIDO7@gmail.com,MBWPS,1
NOMBRE8,APELLIDO8,NOMBRE8APELLIDO8@gmail.com,LGENW,1
NOMBRE9,APELLIDO9,NOMBRE9APELLIDO9@gmail.com,OQNJV,0
NOMBRE10,APELLIDO10,NOMBRE10APELLIDO10@gmail.com,PMEZA,1
NOMBRE11,APELLIDO11,NOMBRE11APELLIDO11@gmail.com,CZJRJ,0
NOMBRE12,APELLIDO12,NOMBRE12APELLIDO12@gmail.com,BTRZJ,1
NOMBRE13,APELLIDO13,NOMBRE13APELLIDO13@gmail.com,HKFYF,1
NOMBRE14,APELLIDO14,NOMBRE14APELLIDO14@gmail.com,WEXIL,0
NOMBRE15,APELLIDO15,NOMBRE15APELLIDO15@gmail.com,VCTSN,0
NOMBRE16,APELLIDO16,NOMBRE16APELLIDO16@gmail.com,MYKCP,1
NOMBRE17,APELLIDO17,NOMBRE17APELLIDO17@gmail.com,VDCLU,0
NOMBRE18,APELLIDO18,NOMBRE18APELLIDO18@gmail.com,EETIN,0
NOMBRE19,APELLIDO19,NOMBRE19APELLIDO19@gmail.com,OITGE,0
NOMBRE20,APELLIDO20,NOMBRE20APELLIDO20@gmail.com,VEYHC,1
NOMBRE21,APELLIDO21,NOMBRE21APELLIDO21@gmail.com,MADAH,0
NOMBRE22,APELLIDO22,NOMBRE22APELLIDO22@gmail.com,GFRAP,0
NOMBRE23,APELLIDO23,NOMBRE23APELLIDO23@gmail.com,EDRJT,1
NOMBRE24,APELLIDO24,NOMBRE24APELLIDO24@gmail.com,UISVY,0
NOMBRE25,APELLIDO25,NOMBRE25APELLIDO25@gmail.com,JXNSQ,1
